2024-03-19 13:29:57.607 +03:00 [INF] ad
2024-03-19 13:37:54.445 +03:00 [INF] ad
2024-03-19 13:37:54.463 +03:00 [ERR] Errororoor
2024-03-19 14:11:56.591 +03:00 [INF] 0 File sent.
2024-03-19 14:14:37.168 +03:00 [INF] Message chat id : 0 ; File name - Updated data.json : File sent by user.
2024-03-19 16:11:03.289 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Filtration
2024-03-19 16:11:04.947 +03:00 [INF] Bot id : 6429131594 ; The user clicked: FilterDistrict
2024-03-19 16:11:06.100 +03:00 [ERR] Bot id : 6429131594 ; Error while searching for a suitable object ; Message from user : nm, 
2024-03-19 16:11:06.352 +03:00 [INF] Bot id : 6429131594 ; User sent a message for filtering : nm, 
2024-03-19 16:11:11.909 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Back
2024-03-19 16:11:13.106 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Filtration
2024-03-19 16:11:14.444 +03:00 [INF] Bot id : 6429131594 ; The user clicked: MoreDetailedFiltering
2024-03-19 16:11:15.559 +03:00 [INF] Bot id : 6429131594 ; The user clicked: UniversalFilterField_Id
2024-03-19 16:11:18.054 +03:00 [INF] Bot id : 6429131594 ; The user clicked: UniversalFilterTheSameField
2024-03-19 16:11:19.109 +03:00 [ERR] Bot id : 6429131594 ; Error while searching for a suitable object ; Message from user : m 
2024-03-19 16:11:19.229 +03:00 [INF] Bot id : 6429131594 ; User sent a message for filtering : m 
2024-03-19 16:13:56.046 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Back
2024-03-19 16:13:56.930 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Back
2024-03-19 16:13:58.645 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Back
2024-03-19 16:14:00.946 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Filtration
2024-03-19 16:14:03.768 +03:00 [INF] Bot id : 6429131594 ; The user clicked: FilterDistrict
2024-03-19 16:14:06.049 +03:00 [ERR] Bot id : 6429131594 ; Error while searching for a suitable object ; Message from user : l 
2024-03-19 16:14:06.176 +03:00 [INF] Bot id : 6429131594 ; User sent a message for filtering : l 
2024-03-19 16:26:19.054 +03:00 [INF] Bot id : 6429131594 ; User sent a document : gas-station.csv 
2024-03-19 16:26:30.083 +03:00 [INF] Bot id : 6429131594 ; User sent a document : gas-station.csv 
2024-03-19 16:26:30.712 +03:00 [ERR] Bot id : 6429131594 ; Error while processing file. ; File path : documents/file_531.csv 
2024-03-19 16:34:43.186 +03:00 [INF] Bot id : 6429131594 ; User sent a message : /start 
2024-03-19 16:35:03.208 +03:00 [INF] Bot id : 6429131594 ; User sent a message : /start 
2024-03-19 16:38:09.527 +03:00 [INF] Bot id : 6429131594 ; User sent a message : /start 
2024-03-19 16:38:36.339 +03:00 [INF] Bot id : 6429131594 ; User sent a message : /help 
2024-03-19 16:40:12.694 +03:00 [INF] Bot id : 6429131594 ; User sent a message : /рудз 
2024-03-19 16:40:14.410 +03:00 [INF] Bot id : 6429131594 ; User sent a message : /help 
2024-03-19 16:40:42.294 +03:00 [INF] Bot id : 6429131594 ; User sent a message : /help 
2024-03-19 16:41:57.412 +03:00 [INF] Bot id : 6429131594 ; User sent a message : /help 
2024-03-19 16:47:58.301 +03:00 [INF] Bot id : 6429131594 ; User sent a message : /help 
2024-03-19 16:48:36.723 +03:00 [INF] Bot id : 6429131594 ; User sent a message : /help 
2024-03-19 16:49:01.441 +03:00 [INF] Bot id : 6429131594 ; User sent a message : /help 
2024-03-19 16:49:01.710 +03:00 [INF] Bot id : 6429131594 ; User sent a message : /help 
2024-03-19 16:50:43.209 +03:00 [INF] Bot id : 6429131594 ; User sent a document : gas-station.csv 
2024-03-19 16:50:43.948 +03:00 [ERR] Bot id : 6429131594 ; Error while processing file. ; File path : documents/file_532.csv 
